city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
pandan,84.31,77,8.08,99,14.0453,124.1694,84.31,PH,2021-05-11 06:17:08
talnakh,33.87,96,10.96,98,69.4865,88.3972,33.87,RU,2021-05-11 05:13:26
mikkeli,51.01,75,7,96,61.6886,27.2723,51.01,FI,2021-05-11 01:17:09
saint-paul,70.45,64,8.05,0,-21.0096,55.2707,71.6,RE,2021-05-11 02:17:09
souillac,69.8,94,5.75,40,-20.5167,57.5167,69.8,MU,2021-05-11 02:17:09
bejar,39.67,93,10.36,0,40.3864,-5.7634,42.01,ES,2021-05-11 00:17:09
shetpe,50.59,59,5.5,78,44.1667,52.1167,50.59,KZ,2021-05-11 03:17:09
hudson bay,52.77,43,4.16,100,52.85,-102.3842,52.77,CA,2021-05-10 16:17:10
shizuishan,73.62,24,12.57,99,39.2333,106.7694,73.62,CN,2021-05-11 06:17:10
kruisfontein,55.45,91,7.49,0,-34.0033,24.7314,55.45,ZA,2021-05-11 00:13:22
hegang,52.38,62,3.62,55,47.4,130.3667,52.38,CN,2021-05-11 06:17:10
cache creek,50.85,57,3.44,20,50.8101,-121.3246,53.01,CA,2021-05-10 15:17:10
sao joao da barra,67.55,64,2.71,8,-21.6403,-41.0511,67.55,BR,2021-05-10 19:12:39
wuwei,73.4,22,2.42,98,37.9281,102.6414,73.4,CN,2021-05-11 06:17:11
adrar,83.07,17,14.72,0,20.5022,-10.0711,83.07,MR,2021-05-10 22:17:11
karratha,81.03,35,18.59,100,-20.7377,116.8463,81.03,AU,2021-05-11 06:17:11
baykit,38.55,77,7.67,100,61.67,96.37,38.55,RU,2021-05-11 05:17:11
shuyskoye,41.7,71,2.44,24,59.3736,41.0305,41.7,RU,2021-05-11 01:17:12
nicoya,80.6,69,10.36,0,10.1483,-85.452,80.6,CR,2021-05-10 16:17:12
mazagao,78.8,100,1.14,75,-0.115,-51.2894,78.8,BR,2021-05-10 19:17:12
trinidad,72.36,83,2.28,6,-14.8333,-64.9,72.36,BO,2021-05-10 18:17:12
slave lake,55.4,47,2.3,75,55.2834,-114.769,55.4,CA,2021-05-10 16:17:13
bandarbeyla,83.32,65,13.2,100,9.4942,50.8122,83.32,SO,2021-05-11 01:17:13
fort-shevchenko,56.25,58,2.44,5,44.5086,50.263,56.25,KZ,2021-05-11 03:17:13
taungdwingyi,88.47,51,9.71,0,20.0167,95.55,88.47,MM,2021-05-11 04:47:13
tuatapere,48.99,94,5.01,100,-46.1333,167.6833,48.99,NZ,2021-05-11 10:13:21
ayr,48.38,93,13.8,90,55.4627,-4.6339,48.99,GB,2021-05-10 23:17:14
morondava,68.13,84,8.16,2,-20.2833,44.2833,68.13,MG,2021-05-11 01:17:14
kokopo,84.27,66,5.03,44,-4.352,152.2633,84.27,PG,2021-05-11 08:17:14
maldonado,58.1,67,16.11,20,-34.6667,-54.9167,59,UY,2021-05-10 19:17:14
